,标题,标题_链接,作者,时间,highwirecitemetadatadoi,abstact,Abstract_num,Full_num,Pdf_num,page
10,Environment dependent benefits of inter-individual variation in honey bee recruitment,https://www.biorxiv.org/content/10.1101/2021.08.18.456819v2,"Supraja Rajagopal, Axel Brockmann, Ebi Antony George",2021.08.18.456819;,doi: https://doi.org/10.1101/2021.08.18.456819,"Inter-individual differences in behaviour within the members of a social group can affect the group’s productivity. In eusocial insects, individual differences amongst workers in a colony play a central role division of labour and task allocation. Extensive empirical and theoretical work has highlighted variation in response thresholds as a proximate mechanism underlying individual behavioural differences and hence division of labour. However, other response parameters, like response probability and intensity, can affect these differences. In this study, we first extended a previously published agent-based model on honey bee foraging to understand the relative importance of response (dance) probability and response (dance) intensity in the task of recruitment. Comparing variation obtained from the simulations with previously published empirical data, we found that response intensity plays a more important role than probability in producing consistent inter-individual differences in recruitment behaviour. We then explored the benefits provided by this individual variation in recruitment behaviour to the colony’s collective foraging effort under different environmental conditions. Our results revealed that individual variation leads to a greater energetic yield per forager, but only when food is abundant. Our study highlights the need to consider all response parameters while studying division of labour and adds to the growing body of evidence linking individual variation in behavioural responses to the success of social groups.",37,4,8,34.0
11,An ultra-low dose of Δ9-tetrahydrocannabinol improves Alzheimer’s Disease-related cognitive deficits,https://www.biorxiv.org/content/10.1101/2021.08.22.457252v1,"K. Nitzan, L. Ellenbogen, T. Beniamin, Y. Sarne, R Doron",2021.08.22.457252;,doi: https://doi.org/10.1101/2021.08.22.457252,"Alzheimer’s disease (AD) is the most common form of dementia. AD has a physical, emotional, and economic impact on the patients and their families and society at large. More than a decade since its discovery, there is still no available treatment. Δ9-tetrahydrocannabinol (THC) is emerging as a promising therapeutic agent. Using THC in conventional-high doses may have deleterious effects. Therefore, we propose to use an ultra-low dose of THC (ULD-THC). We previously published that a single injection of ULD-THC elevated Sirtuin-1 (Sirt-1) levels in the brain and ameliorated cognitive functioning in several models of brain injuries as well as in naturally aging mice. Our working hypothesis suggests that ULD-THC can prevent and even reverse AD pathology. In this preliminary study, we saw that a single injection of ULD-THC alleviated cognitive impairments of a mice model for AD, 5xFAD mice. Our work may establish the foundations for the development of a pharmaceutical preparation for the treatment of AD patients, thus, bringing the ULD-THC treatment closer to clinical application.",34,3,4,11.0
12,An inexpensive setup for robust activity tracking in small animals: Portable Locomotion Activity Monitor (pLAM),https://www.biorxiv.org/content/10.1101/2021.08.21.457197v1,"Yash Sondhi, Nicolas J. Jo, Britney Alpizar, Amanda Markee, Hailey E. Dansby, J. P. Currea, Samuel T. Fabian, Carlos Ruiz, Elina Barredo, Matthew Degennaro, Akito Y. Kawahara, Jamie C. Theobald",2021.08.21.457197;,doi: https://doi.org/10.1101/2021.08.21.457197,"Advances in computer vision and deep learning have automated animal behaviour studies that previously required tedious manual input. However, tracking activity of small and fast flying animals remains a hurdle, especially in a field setting with variable light conditions. Commercial locomotor activity monitors (LAMs) can be expensive, closed source, and generally limited to laboratory settings.Here, we present a portable locomotion activity monitor (pLAM), a mobile activity detector to quantify small animal circadian activity. Our setup uses inexpensive components, is based on open-source motion tracking software, and is easy to assemble and use in the field. It runs off-grid, supports low-light tracking with infrared lights, and can implement arbitrary light cycle colours and brightnesses with programmable LEDs. We provide a user-friendly guide to assembling pLAM hardware and accessing its pre-configured software and guidelines for using it in other systems.We benchmarked pLAM for insects under various lab and field conditions, then compared results to a commercial activity detector. They offer broadly similar activity measures, but our setup captures flight and bouts of motion that are often missed by beam-breaking activity detection.pLAM will enable high-throughput quantification of small animal location and activity in a low-cost and accessible manner, crucial to studying behaviour that can help inform conservation and management decisions.",34,4,4,24.0
13,Learning and motor inhibitory control in crows and domestic chickens,https://www.biorxiv.org/content/10.1101/2020.10.27.357764v3,"Claudia A.F. Wascher, Katie Allen, Georgine Szipl",2020.10.27.357764;,doi: https://doi.org/10.1101/2020.10.27.357764,"Cognitive abilities allow animals to navigate through complex, fluctuating environments. In the present study, we tested performance of a captive group of eight crows, Corvus corone, and ten domestic chickens, Gallus gallus domesticus, in the cylinder task, as a test of motor inhibitory control, and reversal learning as a measure of learning ability and behavioural flexibility. Four crows and nine chickens completed the cylinder task, eight crows and six chickens completed the reversal learning experiment. Crows performed better in the cylinder task compared to chickens. In the reversal learning experiment, species did not significantly differ in the number of trials until learning criterion was reached. Performance in the reversal learning experiment did not correlate with performance in the cylinder task in chickens. Our results suggest crows to possess better motor inhibitory control compared to chickens. In contrast, learning performance in a reversal learning task did not differ between the species, indicating similar levels of behavioural flexibility. Interestingly, we describe notable individual differences in performance. We stress the importance not only to compare cognitive performance between species but also between individuals of the same species when investigating the evolution of cognitive skills.",764,141,203,27.0
14,Temporary prey storage along swarm columns of army ants: an adaptive strategy for successful raiding?,https://www.biorxiv.org/content/10.1101/2021.05.24.445418v5,"Hilário Póvoas de Lima, Serafino Teseo, Raquel Leite Castro de Lima, Ronara Souza Ferreira-Châline, Nicolas Châline",2021.05.24.445418;,doi: https://doi.org/10.1101/2021.05.24.445418,"While pillaging the brood of other ant colonies, Eciton army ants accumulate prey in piles, or caches, along their foraging trails. Widely documented, these structures have historically been considered as byproducts of heavy traffic or aborted relocations of the ants’ temporary nest, or bivouac. However, we recently observed that caches of the hook-jawed army ant, Eciton hamatum, appeared independently from heavy traffic or bivouac relocations. In addition, the flow of prey through caches varied based on the quantity of prey items workers transported. As this suggested a potential adaptive function, we developed agent-based simulations to compare raids of caching and non-caching virtual army ants. We found that caches increased the amount of prey that relatively low numbers of raiders were able to retrieve. However, this advantage became less conspicuous - and generally disappeared - as the number of raiders increased. Based on these results, we hypothesize that caches maximize the amount of prey that limited amounts of raiders can retrieve, especially as prey colonies coordinately evacuate their brood. In principle, caches also allow workers to safely collect multiple prey items and efficiently transport them to the bivouac. Further field observations are needed to test this and other hypotheses emerging from our study.",1080,38,125,18.0
15,Variability of social interactions in new versus established relationships in female degus,https://www.biorxiv.org/content/10.1101/2021.08.19.456980v1,"Amber Thatcher, Nathan Insel",2021.08.19.456980;,doi: https://doi.org/10.1101/2021.08.19.456980,"When a behaving system explores a new environment or stimulus it varies its behavior to ensure proper sampling. As contingencies are learned, behavioral variance can give-way to routines and stereotypies. This phenomenon is common across a range of learning systems, but has not been well studied in the social domain in which the stimulus an agent investigates, another individual, is reactive to the agent’s behaviors. We examined the effects of social novelty on interaction variability in laboratory-reared, female degus, known to readily express affiliative behaviors with initially unfamiliar, unrelated individuals. Degus were presented with a series of 20 minute, dyadic “reunion” sessions across days, interleaving exposures to familiar and unfamiliar same-sex conspecifics. We found that dyads could be distinguished from one-another by their interactive behaviors, suggesting dyad-specific social relationships. Following the first session, stranger dyads were unexpectedly easier to differentiate than cagemates due to a combination of higher diversity of behavior between dyads and, in some cases, lower variability within dyads. Some evidence could be found for higher variability in stranger interactions within the first two exposures, though within-session variability increased in cagemates across reunions, ultimately exceeding levels in strangers. We also observed that while strangers interacted more than cagemates, this could be traced to only 30% of the animals and the higher interaction levels did not attenuate over sessions or after co-housing the animals. No strong differences were observed in the temporal structure of social behavior between the two groups. Results reveal that new relationships in adult, female degus are more diverse but not more variable compared with established relationships, particularly after the first social exposure. Given known tendencies of female degus to form and maintain new relationships, these findings are consistent with the notion that higher interaction variability may be maladaptive to building social coordination and trust.",30,2,1,39.0
16,How the insect central complex could coordinate multimodal navigation,https://www.biorxiv.org/content/10.1101/2021.08.18.456777v1,"Xuelong Sun, Shigang Yue, Michael Mangan",2021.08.18.456777;,doi: https://doi.org/10.1101/2021.08.18.456777,"The central complex of the insect midbrain is thought to coordinate insect guidance strategies. Computational models can account for specific behaviours but their applicability across sensory and task domains remains untested. Here we assess the capacity of our previous model explaining visual navigation to generalise to olfactory navigation and its coordination with other guidance in flies and ants. We show that fundamental to this capacity is the use of a biologically-realistic neural copy-and-shift mechanism that ensures sensory information is presented in a format compatible with the insect steering circuit regardless of its source. Moreover, the same mechanism is shown to transfer cues from unstable/egocentric to stable/geocentric frames of reference providing a first account of the mechanism by which foraging insects robustly recover from environmental disturbances. We propose that these circuits can be flexibly repurposed by different insect navigators to address their unique ecological needs.",31,2,3,24.0
17,Multiple parasitism promotes facultative host acceptance of cuckoo eggs and rejection of cuckoo chicks,https://www.biorxiv.org/content/10.1101/2021.08.18.456772v1,"Hee-Jin Noh, Ros Gloag, Naomi E. Langmore",2021.08.18.456772;,doi: https://doi.org/10.1101/2021.08.18.456772,"Many hosts of brood parasitic cuckoos reject foreign eggs from the nest. Yet where nests commonly receive more than one cuckoo egg, hosts might benefit by instead accepting parasite eggs. This is because cuckoos remove an egg from the nest before adding their own, and keeping cuckoo eggs in the nest reduces the odds that further host eggs are removed by subsequent cuckoos. This ‘clutch dilution effect’ has been proposed as a precondition for the evolution of cuckoo nestling eviction by hosts, but no previous studies have tested this in a host that rejects cuckoo nestlings. We tested the clutch dilution hypothesis in large-billed gerygones (Gerygone magnirostris), which are multiply parasitized by little bronze-cuckoos (Chalcites minutillus). Gerygones evict cuckoo nestlings but accept cuckoo eggs. Consistent with multiple parasitism favouring egg acceptance, we found gerygone egg survival was higher under scenarios of cuckoo egg acceptance than rejection. Yet gerygones were also flexible in their egg acceptance, with 35% abandoning cuckoo-egg-only clutches. This novel demonstration of adaptive clutch dilution suggests that multiple parasitism can favour a facultative response to brood parasite eggs, whereby hosts accept or reject parasite eggs depending on clutch composition.",30,2,2,14.0
18,In the Line of Fire: Debris Throwing by Wild Octopuses,https://www.biorxiv.org/content/10.1101/2021.08.18.456805v1,"Peter Godfrey-Smith, David Scheel, Stephanie Chancellor, Stefan Linquist, Matthew Lawrence",2021.08.18.456805;,doi: https://doi.org/10.1101/2021.08.18.456805,"Wild octopuses at an Australian site frequently propel shells, silt, and algae through the water by releasing these materials from their arms while creating a forceful jet from the siphon held under the arm web. These “throws” occur in several contexts, including interactions with conspecifics, and material thrown in conspecific contexts frequently hits other octopuses. Some throws appear to be targeted on other individuals and play a social role, as suggested by several kinds of evidence. Such throws were significantly more vigorous and more often used silt, rather than shells or algae, and high vigor throws were significantly more often accompanied by uniform or dark body patterns. Some throws were directed differently from beneath the arms and such throws were significantly more likely to hit other octopuses. Throws targeted at other individuals in the same population, as these appear to be, are the least common form of nonhuman throwing.",1184,261,487,20.0
19,Thought Extramission: The Eyes Project Conceptual Maps at Close Distance,https://www.biorxiv.org/content/10.1101/2021.08.18.456814v1,"Magda L. Dumitru, Gitte H. Joergensen",2021.08.18.456814;,doi: https://doi.org/10.1101/2021.08.18.456814,"Light extramission is a popular yet erroneous model of human vision positing that light projects through the eyes over surrounding objects, allowing them to become visible. However, light extramission research has failed to distinguish between light and other types of emissions coming from the eyes, thereby discounting the possibility that extramission mechanisms might hold true for phenomena other than light. Here, we explored the thought extramission model, which is the notion that thoughts emanate from the eyes in the form of visualized representations. We show that the eyes project thoughts a short distance away in the form of high-resolution conceptual maps whose structure collapses at great distances. We also demonstrate that sensory filtering of thought projection by reducing light contrast lowers the resolution of conceptual maps. Our results highlight the supporting role of the visual system for thought processes relying on contrast, luminance, and perspective formation.",31,3,1,17.0
20,Cannabinoid signaling modulation through JZL184 restores key phenotypes of a mouse model for Williams-Beuren syndrome,https://www.biorxiv.org/content/10.1101/2021.08.16.456474v1,"Alba Navarro-Romero, Lorena Galera-López, Paula Ortiz-Romero, Alberto Llorente-Ovejero, Lucía de los Reyes-Ramírez, Aleksandra Mas-Stachurska, Marina Reixachs-Solé, Antoni Pastor, Rafael de la Torre, Rafael Maldonado, Begoña Benito, Eduardo Eyras, Rafael Rodríguez-Puertas, Victoria Campuzano, Andrés Ozaita",2021.08.16.456474;,doi: https://doi.org/10.1101/2021.08.16.456474,"Williams-Beuren syndrome (WBS) is a rare genetic multisystemic disorder characterized by mild to moderate intellectual disability and hypersocial phenotype, while the most life-threatening features are cardiovascular abnormalities. Nowadays, there are no available treatments to ameliorate the main traits of WBS. The endocannabinoid system (ECS), given its relevance for both cognitive and cardiovascular function, could be a potential druggable target in this syndrome. We analyzed the components of the ECS in the complete deletion (CD) mouse model of WBS and assessed the impact of its pharmacological modulation in key phenotypes relevant for WBS. CD mice showed the characteristic hypersociable phenotype with no preference for social novelty and poor object-recognition performance. Brain cannabinoid type-1 receptor (CB1R) in CD male mice showed alterations in density and coupling with no detectable change in main endocannabinoids. Endocannabinoid signaling modulation with sub-chronic (10 d) JZL184, a selective inhibitor of monoacylglycerol lipase (MAGL), specifically normalized the social and cognitive phenotype of CD mice. Notably, JZL184 treatment improved cardiac function and restored gene expression patterns in cardiac tissue. These results reveal the modulation of the ECS as a promising novel therapeutic approach to improve key phenotypic alterations in WBS.",32,2,9,43.0
21,Breeding displacement in gray wolves (Canis lupus): Three males usurp breeding position and pup rearing from a neighboring pack in Yellowstone National Park,https://www.biorxiv.org/content/10.1101/2021.08.18.456828v1,"Jeremy D. SunderRaj, Jack W. Rabe, Kira A. Cassidy, Rick McIntyre, Daniel R. Stahler, Douglas W. Smith",2021.08.18.456828;,doi: https://doi.org/10.1101/2021.08.18.456828,"Gray Wolves (Canis lupus) are territorial, group living carnivores that live in packs typically consisting of a dominant breeding pair and their offspring. Breeding tenures are relatively short and competitive, with vacancies usually occurring following a breeder’s death, and are often filled by unrelated immigrants or by relatives of the previous breeder. The frequency and conditions of active breeder displacements are poorly understood. Position changes in the dominance hierarchy are common yet rarely documented in detail. We describe a turnover in male breeding position in a wolf pack by males from a neighboring pack in mid-summer 2016 in Yellowstone National Park. Over the course of two months, three males from the Mollie’s pack displaced the breeding male of the neighboring Wapiti Lake pack, joined the pack’s two adult females, and subsequently raised the previous male’s four approximately three-month old pups. In the four years following the displacement (2017 to 2020), at least one of the intruding males has successfully bred with the dominant female and most years with a subordinate female (who was one of the pups at the time of displacement). The pack reared pups to adulthood each year. Male breeding displacements are likely influenced by male-male competition and female mate choice. These changes are the result of individuals competing to improve breeding position and may lead to increased pack stability and greater reproductive success. We report in detail on the behavior of a closely observed breeding displacement and we discuss the adaptive benefits of the change.",31,4,6,35.0
